timestamp,open,high,low,close,volume
2021-03-23,11.4600,11.9300,10.3700,10.6600,83478346
2021-03-22,13.1500,13.1900,11.7600,12.4900,88760137
2021-03-19,14.1400,14.1800,13.2800,13.9300,153205985
2021-03-18,14.3400,14.5400,13.5700,14.0000,122212275
2021-03-17,13.2400,13.6600,13.0000,13.5600,78053640
2021-03-16,13.6200,13.6200,12.3400,13.0200,125967622
2021-03-15,12.1800,14.4900,11.8500,14.0400,278969151
2021-03-12,10.1600,11.4000,9.9400,11.1600,111146694
2021-03-11,10.6500,10.8700,9.9000,10.2800,83933589
2021-03-10,11.0200,12.4700,9.5100,9.8500,261918591
2021-03-09,9.3800,10.7700,9.2200,10.5000,150415641
2021-03-08,8.5300,9.4800,8.3100,9.2900,114343829
2021-03-05,8.0800,8.2700,7.6300,8.0500,59734128
2021-03-04,8.2500,8.5900,7.5000,8.0300,77822639
2021-03-03,8.9500,9.1400,8.5000,8.5800,55651874
2021-03-02,9.1400,9.4000,8.5100,8.9300,78135441
2021-03-01,8.8600,9.4450,8.4200,9.1800,143586483
2021-02-26,8.1900,9.0100,7.6301,8.0100,133508134
2021-02-25,10.8900,11.0000,7.8500,8.2900,435842322
2021-02-24,7.2300,9.8300,6.9900,9.0900,376881755
2021-02-23,6.9700,7.8600,6.0100,7.7000,264876391
2021-02-22,5.9300,6.6800,5.7500,6.5500,150537943
2021-02-19,5.5400,5.7700,5.5100,5.7000,40249109
2021-02-18,5.8400,6.2500,5.4600,5.5100,130540827
2021-02-17,5.5800,5.6200,5.3200,5.5500,38185271
2021-02-16,6.0300,6.0500,5.4900,5.6500,61165710
2021-02-12,5.7200,5.9700,5.5200,5.5900,46773031
2021-02-11,5.6200,5.8500,5.4700,5.6100,55920386
2021-02-10,5.7100,6.5900,5.4500,5.8000,149869768
2021-02-09,5.8100,5.8100,5.2600,5.5000,97487848
2021-02-08,6.8800,6.8900,5.7500,6.1800,128755955
2021-02-05,7.1700,8.2700,6.5200,6.8300,197097568
2021-02-04,8.7000,8.7400,7.0000,7.0900,162985781
2021-02-03,8.8500,9.7700,7.8900,8.9700,221405052
2021-02-02,9.4800,10.1000,6.0000,7.8200,455959866
2021-02-01,17.0000,17.2500,12.9100,13.3000,434607989
2021-01-29,14.3100,16.0000,11.6000,13.2600,602193320
2021-01-28,11.9800,16.5000,6.5100,8.6300,553511035
2021-01-27,20.3400,20.3600,11.0100,19.9000,1196005169
2021-01-26,5.0900,5.1900,4.3700,4.9600,456850232
2021-01-25,4.7100,4.8800,3.8500,4.4200,443238115
2021-01-22,2.9100,3.7400,2.8100,3.5100,268273367
2021-01-21,3.0000,3.0600,2.8500,2.9800,64823844
2021-01-20,3.2900,3.3400,2.7500,2.9700,181862210
2021-01-19,2.8000,3.2000,2.5700,3.0600,256276010
2021-01-15,2.2000,2.5500,2.1800,2.3300,162356375
2021-01-14,2.2200,2.3200,2.1300,2.1800,49638794
2021-01-13,2.3300,2.3800,2.1300,2.1800,45847659
2021-01-12,2.2400,2.3900,2.2350,2.2900,41279713
2021-01-11,2.1600,2.2700,2.1500,2.2000,41695836
2021-01-08,2.0900,2.2110,2.0700,2.1400,39553343
2021-01-07,2.0800,2.1100,2.0200,2.0500,26150489
2021-01-06,2.0300,2.2300,1.9700,2.0100,67363337
2021-01-05,1.9900,2.0300,1.9100,1.9800,28148314
2021-01-04,2.2000,2.2000,2.0000,2.0100,29873796
2020-12-31,2.1700,2.2200,2.0800,2.1200,28234251
2020-12-30,2.3000,2.3000,2.1300,2.1600,40278438
2020-12-29,2.4400,2.4600,2.2800,2.2900,21086148
2020-12-28,2.6300,2.6300,2.3600,2.3900,23241725
2020-12-24,2.5900,2.6000,2.4800,2.5100,11094189
2020-12-23,2.5800,2.6500,2.5400,2.5600,15724765
2020-12-22,2.7300,2.7500,2.5200,2.5900,21686612
2020-12-21,2.6100,2.7400,2.5800,2.6800,22699798
2020-12-18,2.8500,2.8500,2.7600,2.8000,21941652
2020-12-17,2.8000,2.9500,2.7400,2.8500,23799298
2020-12-16,2.8700,2.8900,2.7200,2.7800,25423239
